grasspea,faba,medicago,pea
LATSA3860_EIv1.0_0000540,Vfaba.Hedin2.R1.5g140720,MtrunA17_Chr7g0264741,Psat3g041720
LATSA3860_EIv1.0_0000590,Vfaba.Hedin2.R1.5g140800,MtrunA17_Chr7g0264791,Psat3g041640
LATSA3860_EIv1.0_0000640,Vfaba.Hedin2.R1.5g141520,MtrunA17_Chr7g0264861,Psat3g041520
LATSA3860_EIv1.0_0072730,Vfaba.Hedin2.R1.1g068440,MtrunA17_Chr2g0319961,Psat5g250760
LATSA3860_EIv1.0_0072760,Vfaba.Hedin2.R1.1g068480,MtrunA17_Chr2g0319951,Psat5g250800
LATSA3860_EIv1.0_0093250,Vfaba.Hedin2.R1.4g220280,MtrunA17_Chr4g0072871,Psat0s1849g0080
LATSA3860_EIv1.0_0093290,Vfaba.Hedin2.R1.4g220480,MtrunA17_Chr4g0072901,Psat0s4890g0040
LATSA3860_EIv1.0_0093380,Vfaba.Hedin2.R1.4g220920,MtrunA17_Chr4g0072941,Psat4g010960
LATSA3860_EIv1.0_0093400,Vfaba.Hedin2.R1.4g220960,MtrunA17_Chr4g0072961,Psat4g010880
LATSA3860_EIv1.0_0093410,Vfaba.Hedin2.R1.4g221000,MtrunA17_Chr4g0072981,Psat4g010840
LATSA3860_EIv1.0_0093420,Vfaba.Hedin2.R1.4g221040,MtrunA17_Chr4g0073001,Psat4g010800
LATSA3860_EIv1.0_0093430,Vfaba.Hedin2.R1.4g221240,MtrunA17_Chr4g0073021,Psat4g010720
LATSA3860_EIv1.0_0129440,Vfaba.Hedin2.R1.1g375760,MtrunA17_Chr5g0400661,Psat2g172960
LATSA3860_EIv1.0_0129480,Vfaba.Hedin2.R1.Ung017600,MtrunA17_Chr5g0400591,Psat2g173200
LATSA3860_EIv1.0_0129550,Vfaba.Hedin2.R1.1g376160,MtrunA17_Chr1g0165101,Psat2g173960
LATSA3860_EIv1.0_0129560,Vfaba.Hedin2.R1.1g376200,MtrunA17_Chr5g0400501,Psat2g173400
LATSA3860_EIv1.0_0129580,Vfaba.Hedin2.R1.1g376240,MtrunA17_Chr5g0400491,Psat2g173440
LATSA3860_EIv1.0_0129590,Vfaba.Hedin2.R1.1g376280,MtrunA17_Chr5g0400471,Psat2g173480
LATSA3860_EIv1.0_0129600,Vfaba.Hedin2.R1.1g376320,MtrunA17_Chr5g0400461,Psat2g173520
LATSA3860_EIv1.0_0129610,Vfaba.Hedin2.R1.1g376400,MtrunA17_Chr5g0400451,Psat2g173560
LATSA3860_EIv1.0_0129670,Vfaba.Hedin2.R1.1g376560,MtrunA17_Chr5g0400361,Psat2g173720
LATSA3860_EIv1.0_0129680,Vfaba.Hedin2.R1.1g376600,MtrunA17_Chr5g0400351,Psat2g173760
LATSA3860_EIv1.0_0129690,Vfaba.Hedin2.R1.1g376640,MtrunA17_Chr5g0400331,Psat2g173800
LATSA3860_EIv1.0_0129700,Vfaba.Hedin2.R1.1g376680,MtrunA17_Chr5g0400311,Psat2g173840
LATSA3860_EIv1.0_0129750,Vfaba.Hedin2.R1.1g376800,MtrunA17_Chr5g0400241,Psat2g174400
LATSA3860_EIv1.0_0129760,Vfaba.Hedin2.R1.1g376840,MtrunA17_Chr5g0400221,Psat2g174640
LATSA3860_EIv1.0_0129780,Vfaba.Hedin2.R1.1g376960,MtrunA17_Chr5g0400181,Psat2g174720
LATSA3860_EIv1.0_0129810,Vfaba.Hedin2.R1.1g377040,MtrunA17_Chr5g0400141,Psat2g174880
LATSA3860_EIv1.0_0129830,Vfaba.Hedin2.R1.Ung020560,MtrunA17_Chr5g0400101,Psat2g175000
LATSA3860_EIv1.0_0129960,Vfaba.Hedin2.R1.1g377400,MtrunA17_Chr5g0400041,Psat2g174360
LATSA3860_EIv1.0_0129980,Vfaba.Hedin2.R1.1g377760,MtrunA17_Chr5g0399981,Psat2g175360
LATSA3860_EIv1.0_0129990,Vfaba.Hedin2.R1.1g377920,MtrunA17_Chr5g0399951,Psat2g175440
LATSA3860_EIv1.0_0130010,Vfaba.Hedin2.R1.Ung062480,MtrunA17_Chr5g0399941,Psat2g175480
LATSA3860_EIv1.0_0130060,Vfaba.Hedin2.R1.1g378040,MtrunA17_Chr5g0399901,Psat2g175640
LATSA3860_EIv1.0_0130090,Vfaba.Hedin2.R1.1g378160,MtrunA17_Chr5g0399831,Psat2g175720
LATSA3860_EIv1.0_0130130,Vfaba.Hedin2.R1.1g378240,MtrunA17_Chr5g0399811,Psat2g175880
LATSA3860_EIv1.0_0130210,Vfaba.Hedin2.R1.1g378520,MtrunA17_Chr5g0399691,Psat2g176200
LATSA3860_EIv1.0_0130220,Vfaba.Hedin2.R1.1g378560,MtrunA17_Chr5g0399681,Psat2g176320
LATSA3860_EIv1.0_0130240,Vfaba.Hedin2.R1.1g378680,MtrunA17_Chr5g0399641,Psat2g176400
LATSA3860_EIv1.0_0130290,Vfaba.Hedin2.R1.1g379160,MtrunA17_Chr5g0399541,Psat2g177320
LATSA3860_EIv1.0_0130310,Vfaba.Hedin2.R1.1g379240,MtrunA17_Chr5g0399501,Psat2g177400
LATSA3860_EIv1.0_0130350,Vfaba.Hedin2.R1.1g379400,MtrunA17_Chr5g0399491,Psat2g177440
LATSA3860_EIv1.0_0130390,Vfaba.Hedin2.R1.1g379640,MtrunA17_Chr5g0399431,Psat2g176640
LATSA3860_EIv1.0_0130410,Vfaba.Hedin2.R1.1g379680,MtrunA17_Chr6g0459221,Psat2g176760
LATSA3860_EIv1.0_0130420,Vfaba.Hedin2.R1.1g379720,MtrunA17_Chr5g0399401,Psat2g176840
LATSA3860_EIv1.0_0130430,Vfaba.Hedin2.R1.1g379760,MtrunA17_Chr5g0399391,Psat2g176920
LATSA3860_EIv1.0_0130440,Vfaba.Hedin2.R1.1g379800,MtrunA17_Chr5g0399371,Psat2g176960
LATSA3860_EIv1.0_0130450,Vfaba.Hedin2.R1.Ung035760,MtrunA17_Chr5g0399351,Psat2g177000
LATSA3860_EIv1.0_0147760,Vfaba.Hedin2.R1.2g095520,MtrunA17_Chr3g0118661,Psat5g109000
LATSA3860_EIv1.0_0160990,Vfaba.Hedin2.R1.1g149040,MtrunA17_Chr6g0448851,Psat1g052240
LATSA3860_EIv1.0_0161000,Vfaba.Hedin2.R1.1g149080,MtrunA17_Chr7g0263441,Psat1g052200
LATSA3860_EIv1.0_0161010,Vfaba.Hedin2.R1.1g149120,MtrunA17_Chr6g0448841,Psat1g052160
LATSA3860_EIv1.0_0161120,Vfaba.Hedin2.R1.1g149320,MtrunA17_Chr6g0488901,Psat1g052000
LATSA3860_EIv1.0_0161130,Vfaba.Hedin2.R1.1g149360,MtrunA17_Chr6g0488891,Psat1g051920
LATSA3860_EIv1.0_0175160,Vfaba.Hedin2.R1.1g346080,MtrunA17_Chr5g0408061,Psat2g146080
LATSA3860_EIv1.0_0175240,Vfaba.Hedin2.R1.1g346360,MtrunA17_Chr5g0407981,Psat2g146560
LATSA3860_EIv1.0_0175260,Vfaba.Hedin2.R1.1g346440,MtrunA17_Chr5g0407971,Psat2g146400
LATSA3860_EIv1.0_0175270,Vfaba.Hedin2.R1.1g346480,MtrunA17_Chr5g0407961,Psat2g146360
LATSA3860_EIv1.0_0175390,Vfaba.Hedin2.R1.1g346880,MtrunA17_Chr5g0407781,Psat2g146920
LATSA3860_EIv1.0_0175480,Vfaba.Hedin2.R1.1g347160,MtrunA17_Chr5g0407691,Psat2g147200
LATSA3860_EIv1.0_0175490,Vfaba.Hedin2.R1.1g347240,MtrunA17_Chr5g0407621,Psat2g147240
LATSA3860_EIv1.0_0175500,Vfaba.Hedin2.R1.1g347360,MtrunA17_Chr5g0407561,Psat2g147320
LATSA3860_EIv1.0_0175520,Vfaba.Hedin2.R1.1g347440,MtrunA17_Chr5g0407541,Psat2g147440
LATSA3860_EIv1.0_0175580,Vfaba.Hedin2.R1.1g347760,MtrunA17_Chr5g0407501,Psat2g147560
LATSA3860_EIv1.0_0175590,Vfaba.Hedin2.R1.1g347840,MtrunA17_Chr5g0407461,Psat2g147600
LATSA3860_EIv1.0_0175600,Vfaba.Hedin2.R1.1g347880,MtrunA17_Chr5g0407451,Psat2g147680
LATSA3860_EIv1.0_0175710,Vfaba.Hedin2.R1.1g348120,MtrunA17_Chr5g0407381,Psat0s674g0040
LATSA3860_EIv1.0_0175720,Vfaba.Hedin2.R1.1g348160,MtrunA17_Chr5g0407361,Psat2g148360
LATSA3860_EIv1.0_0189220,Vfaba.Hedin2.R1.Ung041120,MtrunA17_Chr1g0178071,Psat6g082680
LATSA3860_EIv1.0_0189270,Vfaba.Hedin2.R1.3g024960,MtrunA17_Chr1g0178081,Psat6g080040
LATSA3860_EIv1.0_0189280,Vfaba.Hedin2.R1.3g039160,MtrunA17_Chr1g0178091,Psat6g080080
LATSA3860_EIv1.0_0201360,Vfaba.Hedin2.R1.1g077040,MtrunA17_Chr2g0317021,Psat5g242080
LATSA3860_EIv1.0_0214040,Vfaba.Hedin2.R1.1g462600,MtrunA17_Chr2g0285571,Psat1g191400
LATSA3860_EIv1.0_0214060,Vfaba.Hedin2.R1.1g462720,MtrunA17_Chr2g0285521,Psat1g191480
LATSA3860_EIv1.0_0214070,Vfaba.Hedin2.R1.1g462800,MtrunA17_Chr2g0285511,Psat1g191520
LATSA3860_EIv1.0_0214080,Vfaba.Hedin2.R1.1g462840,MtrunA17_Chr2g0285501,Psat1g191560
LATSA3860_EIv1.0_0214180,Vfaba.Hedin2.R1.1g463120,MtrunA17_Chr2g0285411,Psat1g192120
LATSA3860_EIv1.0_0225780,Vfaba.Hedin2.R1.1g461840,MtrunA17_Chr2g0285731,Psat1g188520
LATSA3860_EIv1.0_0236810,Vfaba.Hedin2.R1.1g464080,MtrunA17_Chr3g0085881,Psat1g192840
LATSA3860_EIv1.0_0247100,Vfaba.Hedin2.R1.1g267880,MtrunA17_Chr5g0442191,Psat2g018120
LATSA3860_EIv1.0_0247110,Vfaba.Hedin2.R1.1g267920,MtrunA17_Chr5g0442201,Psat2g018080
LATSA3860_EIv1.0_0247170,Vfaba.Hedin2.R1.1g268480,MtrunA17_Chr5g0442361,Psat2g018320
LATSA3860_EIv1.0_0247180,Vfaba.Hedin2.R1.1g268400,MtrunA17_Chr5g0442381,Psat2g018280
LATSA3860_EIv1.0_0247210,Vfaba.Hedin2.R1.1g268360,MtrunA17_Chr5g0442401,Psat2g018200
LATSA3860_EIv1.0_0247220,Vfaba.Hedin2.R1.1g268320,MtrunA17_Chr5g0442451,Psat2g018160
LATSA3860_EIv1.0_0247290,Vfaba.Hedin2.R1.1g268560,MtrunA17_Chr5g0442461,Psat2g019040
LATSA3860_EIv1.0_0247430,Vfaba.Hedin2.R1.1g269200,MtrunA17_Chr5g0442661,Psat2g017520
LATSA3860_EIv1.0_0247450,Vfaba.Hedin2.R1.Ung034520,MtrunA17_Chr5g0442731,Psat2g017400
LATSA3860_EIv1.0_0247480,Vfaba.Hedin2.R1.1g269560,MtrunA17_Chr5g0442771,Psat2g017320
LATSA3860_EIv1.0_0247490,Vfaba.Hedin2.R1.1g269600,MtrunA17_Chr5g0442811,Psat2g017280
LATSA3860_EIv1.0_0257510,Vfaba.Hedin2.R1.5g122880,MtrunA17_Chr7g0260841,Psat3g059400
LATSA3860_EIv1.0_0257610,Vfaba.Hedin2.R1.5g123280,MtrunA17_Chr7g0260891,Psat3g059160
LATSA3860_EIv1.0_0257650,Vfaba.Hedin2.R1.5g123360,MtrunA17_Chr7g0260961,Psat3g059080
LATSA3860_EIv1.0_0257660,Vfaba.Hedin2.R1.5g123400,MtrunA17_Chr7g0260971,Psat3g059000
LATSA3860_EIv1.0_0267100,Vfaba.Hedin2.R1.2g188840,MtrunA17_Chr3g0138691,Psat5g026320
LATSA3860_EIv1.0_0267200,Vfaba.Hedin2.R1.2g188920,MtrunA17_Chr3g0138671,Psat5g025720
LATSA3860_EIv1.0_0267280,Vfaba.Hedin2.R1.2g189080,MtrunA17_Chr3g0138591,Psat5g026520
LATSA3860_EIv1.0_0285530,Vfaba.Hedin2.R1.4g206520,MtrunA17_Chr4g0070201,Psat4g019040
LATSA3860_EIv1.0_0285580,Vfaba.Hedin2.R1.4g206360,MtrunA17_Chr4g0070171,Psat4g018240
LATSA3860_EIv1.0_0285670,Vfaba.Hedin2.R1.4g205880,MtrunA17_Chr4g0070101,Psat4g018680
LATSA3860_EIv1.0_0285680,Vfaba.Hedin2.R1.4g205840,MtrunA17_Chr4g0070091,Psat4g018640
LATSA3860_EIv1.0_0285740,Vfaba.Hedin2.R1.4g205600,MtrunA17_Chr4g0070051,Psat0s2373g0080
LATSA3860_EIv1.0_0295730,Vfaba.Hedin2.R1.2g022760,MtrunA17_Chr3g0087811,Psat5g204800
LATSA3860_EIv1.0_0303970,Vfaba.Hedin2.R1.1g105680,MtrunA17_Chr6g0469911,Psat3g167920
LATSA3860_EIv1.0_0312250,Vfaba.Hedin2.R1.4g195400,MtrunA17_Chr4g0067961,Psat0s1646g0040
LATSA3860_EIv1.0_0312270,Vfaba.Hedin2.R1.4g195440,MtrunA17_Chr4g0067981,Psat0s1646g0080
LATSA3860_EIv1.0_0312280,Vfaba.Hedin2.R1.4g195480,MtrunA17_Chr4g0068011,Psat0s1646g0120
LATSA3860_EIv1.0_0312410,Vfaba.Hedin2.R1.4g195920,MtrunA17_Chr4g0068111,Psat4g023280
LATSA3860_EIv1.0_0320600,Vfaba.Hedin2.R1.1g170160,MtrunA17_Chr6g0478371,Psat1g033600
LATSA3860_EIv1.0_0320690,Vfaba.Hedin2.R1.Ung038640,MtrunA17_Chr6g0482711,Psat1g033040
LATSA3860_EIv1.0_0329590,Vfaba.Hedin2.R1.6g086800,MtrunA17_Chr8g0375561,Psat7g085400
LATSA3860_EIv1.0_0329660,Vfaba.Hedin2.R1.6g087040,MtrunA17_Chr8g0375521,Psat7g084640
LATSA3860_EIv1.0_0329700,Vfaba.Hedin2.R1.6g087120,MtrunA17_Chr8g0375511,Psat7g085640
LATSA3860_EIv1.0_0337520,Vfaba.Hedin2.R1.6g182200,MtrunA17_Chr8g0389101,Psat7g021440
LATSA3860_EIv1.0_0337540,Vfaba.Hedin2.R1.6g182240,MtrunA17_Chr8g0389111,Psat7g021480
LATSA3860_EIv1.0_0337590,Vfaba.Hedin2.R1.Ung088360,MtrunA17_Chr8g0389131,Psat7g021960
LATSA3860_EIv1.0_0345460,Vfaba.Hedin2.R1.2g030720,MtrunA17_Chr3g0092651,Psat5g187200
LATSA3860_EIv1.0_0345550,Vfaba.Hedin2.R1.2g030680,MtrunA17_Chr3g0092601,Psat5g187160
LATSA3860_EIv1.0_0362300,Vfaba.Hedin2.R1.2g125760,MtrunA17_Chr3g0126451,Psat5g079560
LATSA3860_EIv1.0_0362330,Vfaba.Hedin2.R1.2g125960,MtrunA17_Chr3g0126471,Psat5g079360
LATSA3860_EIv1.0_0362510,Vfaba.Hedin2.R1.2g125360,MtrunA17_Chr3g0126551,Psat5g077760
LATSA3860_EIv1.0_0362590,Vfaba.Hedin2.R1.2g125080,MtrunA17_Chr3g0126581,Psat5g077960
LATSA3860_EIv1.0_0369140,Vfaba.Hedin2.R1.1g113120,MtrunA17_Chr6g0463941,Psat1g106400
LATSA3860_EIv1.0_0375550,Vfaba.Hedin2.R1.1g128880,MtrunA17_Chr6g0456041,Psat1g064000
LATSA3860_EIv1.0_0381940,Vfaba.Hedin2.R1.6g079600,MtrunA17_Chr4g0042481,Psat7g135960
LATSA3860_EIv1.0_0381980,Vfaba.Hedin2.R1.6g079840,MtrunA17_Chr4g0042451,Psat7g161240
LATSA3860_EIv1.0_0382020,Vfaba.Hedin2.R1.6g079960,MtrunA17_Chr4g0042211,Psat7g160240
LATSA3860_EIv1.0_0382050,Vfaba.Hedin2.R1.1g462560,MtrunA17_Chr4g0042181,Psat7g160440
LATSA3860_EIv1.0_0382060,Vfaba.Hedin2.R1.6g080080,MtrunA17_Chr4g0042171,Psat7g160520
LATSA3860_EIv1.0_0382070,Vfaba.Hedin2.R1.6g080120,MtrunA17_Chr4g0042161,Psat7g160640
LATSA3860_EIv1.0_0388420,Vfaba.Hedin2.R1.Ung112200,MtrunA17_Chr6g0479111,Psat1g029680
LATSA3860_EIv1.0_0388610,Vfaba.Hedin2.R1.1g171880,MtrunA17_Chr6g0479161,Psat1g030040
LATSA3860_EIv1.0_0388640,Vfaba.Hedin2.R1.3g214520,MtrunA17_Chr1g0151541,Psat6g020560
LATSA3860_EIv1.0_0401050,Vfaba.Hedin2.R1.1g400080,MtrunA17_Chr2g0308321,Psat1g127000
LATSA3860_EIv1.0_0401130,Vfaba.Hedin2.R1.1g400200,MtrunA17_Chr2g0308371,Psat1g128520
LATSA3860_EIv1.0_0401140,Vfaba.Hedin2.R1.1g400240,MtrunA17_Chr2g0308381,Psat1g128480
LATSA3860_EIv1.0_0406550,Vfaba.Hedin2.R1.2g191880,MtrunA17_Chr3g0139391,Psat0s1478g0160
LATSA3860_EIv1.0_0406570,Vfaba.Hedin2.R1.2g191960,MtrunA17_Chr3g0139411,Psat0s1478g0320
LATSA3860_EIv1.0_0406590,Vfaba.Hedin2.R1.2g192040,MtrunA17_Chr3g0139421,Psat0s1478g0400
LATSA3860_EIv1.0_0406600,Vfaba.Hedin2.R1.2g192080,MtrunA17_Chr3g0139441,Psat5g023680
LATSA3860_EIv1.0_0414180,Vfaba.Hedin2.R1.4g200040,MtrunA17_Chr4g0068871,Psat0s1953g0360
LATSA3860_EIv1.0_0414230,Vfaba.Hedin2.R1.4g199960,MtrunA17_Chr4g0068921,Psat0s1953g0120
LATSA3860_EIv1.0_0426690,Vfaba.Hedin2.R1.1g020480,MtrunA17_Chr7g0221181,Psat3g191440
LATSA3860_EIv1.0_0426920,Vfaba.Hedin2.R1.1g021720,MtrunA17_Chr7g0220871,Psat3g190400
LATSA3860_EIv1.0_0426960,Vfaba.Hedin2.R1.1g021840,MtrunA17_Chr7g0221431,Psat3g190240
LATSA3860_EIv1.0_0426970,Vfaba.Hedin2.R1.1g022080,MtrunA17_Chr7g0221441,Psat3g190200
LATSA3860_EIv1.0_0426980,Vfaba.Hedin2.R1.1g022040,MtrunA17_Chr7g0221451,Psat3g190160
LATSA3860_EIv1.0_0427040,Vfaba.Hedin2.R1.6g097920,MtrunA17_Chr4g0050481,Psat7g098440
LATSA3860_EIv1.0_0427110,Vfaba.Hedin2.R1.1g022400,MtrunA17_Chr7g0221581,Psat3g189760
LATSA3860_EIv1.0_0433580,Vfaba.Hedin2.R1.3g038480,MtrunA17_Chr1g0177351,Psat6g083240
LATSA3860_EIv1.0_0440050,Vfaba.Hedin2.R1.1g110880,MtrunA17_Chr6g0465161,Psat0s2547g0080
LATSA3860_EIv1.0_0451650,Vfaba.Hedin2.R1.4g184640,MtrunA17_Chr4g0065571,Psat4g032040
LATSA3860_EIv1.0_0451690,Vfaba.Hedin2.R1.4g184400,MtrunA17_Chr4g0065491,Psat4g033920
LATSA3860_EIv1.0_0451830,Vfaba.Hedin2.R1.4g184000,MtrunA17_Chr4g0065401,Psat4g032920
LATSA3860_EIv1.0_0462110,Vfaba.Hedin2.R1.4g133880,MtrunA17_Chr4g0054801,Psat4g079280
LATSA3860_EIv1.0_0462140,Vfaba.Hedin2.R1.4g134000,MtrunA17_Chr4g0054811,Psat4g078680
LATSA3860_EIv1.0_0467290,Vfaba.Hedin2.R1.1g144880,MtrunA17_Chr6g0450171,Psat1g056560
LATSA3860_EIv1.0_0472680,Vfaba.Hedin2.R1.1g460840,MtrunA17_Chr2g0285881,Psat1g188720
LATSA3860_EIv1.0_0472730,Vfaba.Hedin2.R1.1g461080,MtrunA17_Chr2g0285841,Psat1g188200
LATSA3860_EIv1.0_0477800,Vfaba.Hedin2.R1.3g199360,MtrunA17_Chr1g0147651,Psat6g033160
LATSA3860_EIv1.0_0477830,Vfaba.Hedin2.R1.3g199480,MtrunA17_Chr1g0147701,Psat6g033240
LATSA3860_EIv1.0_0477850,Vfaba.Hedin2.R1.3g199520,MtrunA17_Chr1g0147731,Psat6g033280
LATSA3860_EIv1.0_0477900,Vfaba.Hedin2.R1.3g199720,MtrunA17_Chr1g0147841,Psat6g033440
LATSA3860_EIv1.0_0477910,Vfaba.Hedin2.R1.3g199760,MtrunA17_Chr1g0147821,Psat6g033480
LATSA3860_EIv1.0_0477920,Vfaba.Hedin2.R1.3g199800,MtrunA17_Chr1g0147881,Psat6g033560
LATSA3860_EIv1.0_0477980,Vfaba.Hedin2.R1.3g199880,MtrunA17_Chr1g0147851,Psat0s839g0040
LATSA3860_EIv1.0_0478000,Vfaba.Hedin2.R1.3g200080,MtrunA17_Chr1g0147911,Psat6g032800
LATSA3860_EIv1.0_0482710,Vfaba.Hedin2.R1.1g187640,MtrunA17_Chr2g0311591,Psat1g004200
LATSA3860_EIv1.0_0487600,Vfaba.Hedin2.R1.1g124880,MtrunA17_Chr6g0457431,Psat1g083200
LATSA3860_EIv1.0_0487750,Vfaba.Hedin2.R1.1g124600,MtrunA17_Chr4g0029211,Psat1g080680
LATSA3860_EIv1.0_0493440,Vfaba.Hedin2.R1.2g158480,MtrunA17_Chr3g0132281,Psat5g051160
LATSA3860_EIv1.0_0497920,Vfaba.Hedin2.R1.2g158520,MtrunA17_Chr3g0132301,Psat5g051120
LATSA3860_EIv1.0_0497970,Vfaba.Hedin2.R1.2g158600,MtrunA17_Chr3g0132351,Psat5g050800
LATSA3860_EIv1.0_0498000,Vfaba.Hedin2.R1.2g158640,MtrunA17_Chr3g0132361,Psat5g050600
LATSA3860_EIv1.0_0498010,Vfaba.Hedin2.R1.2g158680,MtrunA17_Chr3g0132371,Psat5g050640
LATSA3860_EIv1.0_0508130,Vfaba.Hedin2.R1.1g373720,MtrunA17_Chr5g0401061,Psat2g171680
LATSA3860_EIv1.0_0508150,Vfaba.Hedin2.R1.1g373800,MtrunA17_Chr5g0401051,Psat2g171720
LATSA3860_EIv1.0_0508180,Vfaba.Hedin2.R1.1g373960,MtrunA17_Chr5g0401031,Psat2g171800
LATSA3860_EIv1.0_0508190,Vfaba.Hedin2.R1.1g374040,MtrunA17_Chr5g0401021,Psat2g171840
LATSA3860_EIv1.0_0508200,Vfaba.Hedin2.R1.1g374120,MtrunA17_Chr5g0401011,Psat2g171880
LATSA3860_EIv1.0_0508220,Vfaba.Hedin2.R1.1g374160,MtrunA17_Chr5g0400981,Psat2g171920
LATSA3860_EIv1.0_0508260,Vfaba.Hedin2.R1.1g374440,MtrunA17_Chr5g0400941,Psat2g172240
LATSA3860_EIv1.0_0508390,Vfaba.Hedin2.R1.1g374720,MtrunA17_Chr5g0400871,Psat0s1639g0160
LATSA3860_EIv1.0_0512700,Vfaba.Hedin2.R1.3g197000,MtrunA17_Chr1g0147071,Psat6g004600
LATSA3860_EIv1.0_0512710,Vfaba.Hedin2.R1.3g196880,MtrunA17_Chr1g0147051,Psat6g004640
LATSA3860_EIv1.0_0512730,Vfaba.Hedin2.R1.3g196640,MtrunA17_Chr1g0147021,Psat6g035400
LATSA3860_EIv1.0_0512830,Vfaba.Hedin2.R1.3g196400,MtrunA17_Chr1g0146921,Psat6g034840
LATSA3860_EIv1.0_0516970,Vfaba.Hedin2.R1.2g091320,MtrunA17_Chr3g0117441,Psat0ss3962g0480
LATSA3860_EIv1.0_0516990,Vfaba.Hedin2.R1.2g091400,MtrunA17_Chr3g0117471,Psat0ss3962g0400
LATSA3860_EIv1.0_0517000,Vfaba.Hedin2.R1.2g091440,MtrunA17_Chr3g0117481,Psat0ss3962g0360
LATSA3860_EIv1.0_0517130,Vfaba.Hedin2.R1.2g091720,MtrunA17_Chr3g0117581,Psat5g114960
