orthogroup,grasspea,faba,medicago,pea,composition_label,nb_pair
OG0001491,LATSA3860_EIv1.0_0355430,Vfaba.Hedin2.R1.1g264520,,Psat2g021440,1204,3
OG0001500,LATSA3860_EIv1.0_0396650,Vfaba.Hedin2.R1.1g157280,MtrunA17_Chr6g0485761,,1230,3
OG0001543,LATSA3860_EIv1.0_0277070,Vfaba.Hedin2.R1.2g060640,,,1200,1
OG0001547,LATSA3860_EIv1.0_0358430,Vfaba.Hedin2.R1.3g129280,,Psat6g193320,1204,3
OG0001602,LATSA3860_EIv1.0_0493340,Vfaba.Hedin2.R1.3g019320,,Psat5g051400,1204,3
OG0001651,LATSA3860_EIv1.0_0380220,Vfaba.Hedin2.R1.6g086360,,,1200,1
OG0001672,LATSA3860_EIv1.0_0453000,Vfaba.Hedin2.R1.4g196000,MtrunA17_Chr4g0068161,,1230,3
OG0001707,LATSA3860_EIv1.0_0574220,Vfaba.Hedin2.R1.5g045840,,Psat3g137160,1204,3
OG0001754,LATSA3860_EIv1.0_0151670,Vfaba.Hedin2.R1.5g012560,,Psat5g291560,1204,3
OG0001785,LATSA3860_EIv1.0_0318870,Vfaba.Hedin2.R1.3g032480,,,1200,1
OG0001789,LATSA3860_EIv1.0_0336570,Vfaba.Hedin2.R1.4g040120,,,1200,1
OG0001834,LATSA3860_EIv1.0_0486000,Vfaba.Hedin2.R1.5g119560,,,1200,1
OG0001852,LATSA3860_EIv1.0_0577950,Vfaba.Hedin2.R1.4g169040,,Psat4g045480,1204,3
OG0001858,LATSA3860_EIv1.0_0627330,Vfaba.Hedin2.R1.1g429960,,Psat1g158160,1204,3
OG0001878,LATSA3860_EIv1.0_0301710,Vfaba.Hedin2.R1.5g087560,,Psat3g090960,1204,3
OG0001881,LATSA3860_EIv1.0_0597210,Vfaba.Hedin2.R1.3g194120,,Psat6g037320,1204,3
OG0001932,LATSA3860_EIv1.0_0329550,Vfaba.Hedin2.R1.6g086720,,Psat7g085280,1204,3
OG0001953,LATSA3860_EIv1.0_0014600,Vfaba.Hedin2.R1.6g067640,MtrunA17_Chr5g0447481,,1230,3
OG0001959,LATSA3860_EIv1.0_0042060,Vfaba.Hedin2.R1.1g303280,,,1200,1
OG0001974,LATSA3860_EIv1.0_0135510,Vfaba.Hedin2.R1.2g162960,,Psat5g045240,1204,3
OG0002021,LATSA3860_EIv1.0_0344520,Vfaba.Hedin2.R1.1g145480,,,1200,1
OG0002059,LATSA3860_EIv1.0_0549860,Vfaba.Hedin2.R1.2g236280,,Psat7g236080,1204,3
OG0002060,LATSA3860_EIv1.0_0550210,Vfaba.Hedin2.R1.1g445640,,,1200,1
OG0002083,LATSA3860_EIv1.0_0615190,Vfaba.Hedin2.R1.6g074280,MtrunA17_Chr4g0040471,,1230,3
OG0002099,LATSA3860_EIv1.0_0043490,Vfaba.Hedin2.R1.1g037720,,Psat5g281440,1204,3
OG0002112,LATSA3860_EIv1.0_0076980,Vfaba.Hedin2.R1.2g249280,,Psat7g242200,1204,3
OG0002137,LATSA3860_EIv1.0_0143970,Vfaba.Hedin2.R1.2g115960,,,1200,1
OG0002184,LATSA3860_EIv1.0_0273740,Vfaba.Hedin2.R1.1g365480,,Psat2g164720,1204,3
OG0002189,LATSA3860_EIv1.0_0283610,Vfaba.Hedin2.R1.1g240360,MtrunA17_Chr5g0434971,,1230,3
OG0002201,LATSA3860_EIv1.0_0305300,Vfaba.Hedin2.R1.4g066400,,,1200,1
OG0002204,LATSA3860_EIv1.0_0308380,Vfaba.Hedin2.R1.5g030000,,,1200,1
OG0002217,LATSA3860_EIv1.0_0350530,Vfaba.Hedin2.R1.1g163800,,Psat1g036600,1204,3
OG0002246,LATSA3860_EIv1.0_0430030,Vfaba.Hedin2.R1.4g020320,,,1200,1
OG0002263,LATSA3860_EIv1.0_0482480,Vfaba.Hedin2.R1.5g047560,,Psat3g132960,1204,3
OG0002267,LATSA3860_EIv1.0_0498360,Vfaba.Hedin2.R1.1g150960,MtrunA17_Chr6g0488051,,1230,3
OG0002281,LATSA3860_EIv1.0_0562310,Vfaba.Hedin2.R1.6g143720,,,1200,1
OG0002294,LATSA3860_EIv1.0_0609240,Vfaba.Hedin2.R1.Ung003320,,Psat2g102840,1204,3
OG0002308,LATSA3860_EIv1.0_0047420,Vfaba.Hedin2.R1.5g103360,,,1200,1
OG0002311,LATSA3860_EIv1.0_0071750,Vfaba.Hedin2.R1.Ung023760,,Psat2g068040,1204,3
OG0002316,LATSA3860_EIv1.0_0102570,Vfaba.Hedin2.R1.2g067360,,,1200,1
OG0002334,LATSA3860_EIv1.0_0523070,Vfaba.Hedin2.R1.2g065680,,,1200,1
OG0002404,LATSA3860_EIv1.0_0072810,Vfaba.Hedin2.R1.Ung062160,,Psat5g186000,1204,3
OG0002422,LATSA3860_EIv1.0_0362480,Vfaba.Hedin2.R1.2g125480,,,1200,1
OG0002452,LATSA3860_EIv1.0_0066100,Vfaba.Hedin2.R1.2g026160,,Psat7g133320,1204,3
OG0002453,LATSA3860_EIv1.0_0083350,Vfaba.Hedin2.R1.4g024080,,,1200,1
OG0002493,LATSA3860_EIv1.0_0253670,Vfaba.Hedin2.R1.2g041720,MtrunA17_Chr3g0098761,,1230,3
OG0002552,LATSA3860_EIv1.0_0442990,Vfaba.Hedin2.R1.5g082800,MtrunA17_Chr7g0252141,,1230,3
OG0002584,LATSA3860_EIv1.0_0529560,Vfaba.Hedin2.R1.4g161640,,,1200,1
OG0002596,LATSA3860_EIv1.0_0581490,Vfaba.Hedin2.R1.1g437880,,Psat1g166360,1204,3
OG0002667,LATSA3860_EIv1.0_0143930,Vfaba.Hedin2.R1.2g115880,MtrunA17_Chr1g0184851,,1230,3
OG0002676,LATSA3860_EIv1.0_0163990,Vfaba.Hedin2.R1.1g150000,,Psat1g051160,1204,3
OG0002693,LATSA3860_EIv1.0_0190540,Vfaba.Hedin2.R1.1g071360,,,1200,1
OG0002699,LATSA3860_EIv1.0_0207750,Vfaba.Hedin2.R1.5g136920,MtrunA17_Chr7g0264051,,1230,3
OG0002747,LATSA3860_EIv1.0_0288380,Vfaba.Hedin2.R1.4g060080,,,1200,1
OG0002760,LATSA3860_EIv1.0_0304400,Vfaba.Hedin2.R1.5g023400,,Psat3g176280,1204,3
OG0002775,LATSA3860_EIv1.0_0345920,Vfaba.Hedin2.R1.1g110320,,,1200,1
OG0002832,LATSA3860_EIv1.0_0463490,Vfaba.Hedin2.R1.4g005600,,Psat4g133360,1204,3
OG0002835,LATSA3860_EIv1.0_0467980,Vfaba.Hedin2.R1.2g273360,MtrunA17_Chr4g0001981,,1230,3
OG0002838,LATSA3860_EIv1.0_0471260,Vfaba.Hedin2.R1.2g015520,,Psat5g217000,1204,3
OG0002845,LATSA3860_EIv1.0_0494840,Vfaba.Hedin2.R1.2g276400,,,1200,1
OG0002847,LATSA3860_EIv1.0_0498370,Vfaba.Hedin2.R1.1g150920,,Psat1g049760,1204,3
OG0002851,LATSA3860_EIv1.0_0515350,Vfaba.Hedin2.R1.6g113440,,,1200,1
OG0002858,LATSA3860_EIv1.0_0526030,Vfaba.Hedin2.R1.3g134400,,Psat6g198280,1204,3
OG0002860,LATSA3860_EIv1.0_0527300,Vfaba.Hedin2.R1.6g191840,,,1200,1
OG0002866,LATSA3860_EIv1.0_0540740,Vfaba.Hedin2.R1.6g075080,,,1200,1
OG0002883,LATSA3860_EIv1.0_0616580,Vfaba.Hedin2.R1.4g239760,,,1200,1
OG0002888,LATSA3860_EIv1.0_0627550,Vfaba.Hedin2.R1.6g001760,,Psat0s2550g0080,1204,3
OG0002890,LATSA3860_EIv1.0_0636720,Vfaba.Hedin2.R1.3g235560,MtrunA17_Chr1g0156031,,1230,3
OG0002897,LATSA3860_EIv1.0_0043320,Vfaba.Hedin2.R1.4g069440,,Psat4g203360,1204,3
OG0002902,LATSA3860_EIv1.0_0062950,Vfaba.Hedin2.R1.5g026000,,Psat3g154800,1204,3
OG0002904,LATSA3860_EIv1.0_0065030,Vfaba.Hedin2.R1.3g025040,MtrunA17_Chr1g0173181,,1230,3
OG0002911,LATSA3860_EIv1.0_0106600,Vfaba.Hedin2.R1.2g243880,,,1200,1
OG0002928,LATSA3860_EIv1.0_0215480,Vfaba.Hedin2.R1.1g274240,,Psat1g190200,1204,3
OG0002930,LATSA3860_EIv1.0_0230480,Vfaba.Hedin2.R1.1g150800,,Psat1g049720,1204,3
OG0002932,LATSA3860_EIv1.0_0264460,Vfaba.Hedin2.R1.Ung083440,,Psat7g219040,1204,3
OG0003032,LATSA3860_EIv1.0_0130260,Vfaba.Hedin2.R1.1g378800,,,1200,1
OG0003082,LATSA3860_EIv1.0_0054220,Vfaba.Hedin2.R1.1g259560,,Psat0s1041g0160,1204,3
OG0003086,LATSA3860_EIv1.0_0073070,Vfaba.Hedin2.R1.3g000120,MtrunA17_Chr1g0213291,,1230,3
OG0003106,LATSA3860_EIv1.0_0170910,Vfaba.Hedin2.R1.Ung036880,,,1200,1
OG0003117,LATSA3860_EIv1.0_0198010,Vfaba.Hedin2.R1.1g029080,MtrunA17_Chr2g0329171,,1230,3
OG0003121,LATSA3860_EIv1.0_0207660,Vfaba.Hedin2.R1.5g164480,,,1200,1
OG0003123,LATSA3860_EIv1.0_0209180,Vfaba.Hedin2.R1.1g415920,,Psat1g144000,1204,3
OG0003147,LATSA3860_EIv1.0_0274250,Vfaba.Hedin2.R1.4g197840,MtrunA17_Chr4g0068541,,1230,3
OG0003162,LATSA3860_EIv1.0_0306580,Vfaba.Hedin2.R1.2g103240,,Psat5g104640,1204,3
OG0003200,LATSA3860_EIv1.0_0389370,Vfaba.Hedin2.R1.1g349600,,,1200,1
OG0003260,LATSA3860_EIv1.0_0525830,Vfaba.Hedin2.R1.1g110280,,,1200,1
OG0003284,LATSA3860_EIv1.0_0575630,Vfaba.Hedin2.R1.3g119400,,Psat6g181080,1204,3
OG0003301,LATSA3860_EIv1.0_0610440,Vfaba.Hedin2.R1.3g213520,,,1200,1
OG0003334,LATSA3860_EIv1.0_0021410,Vfaba.Hedin2.R1.2g011400,,Psat5g221640,1204,3
OG0003336,LATSA3860_EIv1.0_0022430,Vfaba.Hedin2.R1.2g104160,,Psat5g101280,1204,3
OG0003349,LATSA3860_EIv1.0_0044370,Vfaba.Hedin2.R1.6g021600,,Psat7g143520,1204,3
OG0003351,LATSA3860_EIv1.0_0048810,Vfaba.Hedin2.R1.6g149840,,Psat7g053120,1204,3
OG0003364,LATSA3860_EIv1.0_0064850,Vfaba.Hedin2.R1.3g014440,,,1200,1
OG0003369,LATSA3860_EIv1.0_0074540,Vfaba.Hedin2.R1.3g024200,,,1200,1
OG0003410,LATSA3860_EIv1.0_0139400,Vfaba.Hedin2.R1.5g152240,,Psat3g030720,1204,3
OG0003415,LATSA3860_EIv1.0_0144930,Vfaba.Hedin2.R1.1g084680,,Psat5g234080,1204,3
OG0003429,LATSA3860_EIv1.0_0168570,Vfaba.Hedin2.R1.3g092480,MtrunA17_Chr1g0193131,,1230,3
OG0003433,LATSA3860_EIv1.0_0174150,Vfaba.Hedin2.R1.1g082360,,Psat5g236280,1204,3
OG0003435,LATSA3860_EIv1.0_0177580,Vfaba.Hedin2.R1.1g401680,,,1200,1
OG0003450,LATSA3860_EIv1.0_0198450,Vfaba.Hedin2.R1.Ung026640,MtrunA17_Chr4g0043591,,1230,3
OG0003451,LATSA3860_EIv1.0_0198460,Vfaba.Hedin2.R1.Ung026680,MtrunA17_Chr4g0043601,,1230,3
OG0003455,LATSA3860_EIv1.0_0202130,Vfaba.Hedin2.R1.1g300560,,Psat1g015840,1204,3
OG0003472,LATSA3860_EIv1.0_0211970,Vfaba.Hedin2.R1.1g279680,,Psat2g009120,1204,3
OG0003480,LATSA3860_EIv1.0_0217100,Vfaba.Hedin2.R1.1g086560,,,1200,1
OG0003484,LATSA3860_EIv1.0_0224030,Vfaba.Hedin2.R1.2g014400,,,1200,1
OG0003485,LATSA3860_EIv1.0_0224820,Vfaba.Hedin2.R1.1g260040,,Psat2g023680,1204,3
OG0003490,LATSA3860_EIv1.0_0229350,Vfaba.Hedin2.R1.3g105760,,Psat6g169120,1204,3
OG0003522,LATSA3860_EIv1.0_0258650,Vfaba.Hedin2.R1.4g002360,,Psat4g225360,1204,3
OG0003527,LATSA3860_EIv1.0_0264770,Vfaba.Hedin2.R1.1g408400,,,1200,1
OG0003536,LATSA3860_EIv1.0_0268450,Vfaba.Hedin2.R1.1g144000,,,1200,1
OG0003541,LATSA3860_EIv1.0_0274870,Vfaba.Hedin2.R1.5g170440,,,1200,1
OG0003572,LATSA3860_EIv1.0_0309010,Vfaba.Hedin2.R1.2g120920,MtrunA17_Chr3g0124871,,1230,3
OG0003589,LATSA3860_EIv1.0_0334120,Vfaba.Hedin2.R1.6g190320,,Psat7g012800,1204,3
OG0003614,LATSA3860_EIv1.0_0361720,Vfaba.Hedin2.R1.3g186400,MtrunA17_Chr4g0043531,,1230,3
OG0003655,LATSA3860_EIv1.0_0418500,Vfaba.Hedin2.R1.2g256800,,,1200,1
OG0003661,LATSA3860_EIv1.0_0432490,Vfaba.Hedin2.R1.1g326040,,,1200,1
OG0003672,LATSA3860_EIv1.0_0450210,Vfaba.Hedin2.R1.4g209240,MtrunA17_Chr4g0070781,,1230,3
OG0003673,LATSA3860_EIv1.0_0450830,Vfaba.Hedin2.R1.1g352200,MtrunA17_Chr5g0406121,,1230,3
OG0003676,LATSA3860_EIv1.0_0454970,Vfaba.Hedin2.R1.3g167360,,Psat6g228760,1204,3
OG0003689,LATSA3860_EIv1.0_0469500,Vfaba.Hedin2.R1.2g252240,,Psat0s3493g0040,1204,3
OG0003700,LATSA3860_EIv1.0_0483400,Vfaba.Hedin2.R1.5g092160,,Psat3g085960,1204,3
OG0003720,LATSA3860_EIv1.0_0509550,Vfaba.Hedin2.R1.6g024600,,,1200,1
OG0003723,LATSA3860_EIv1.0_0514040,Vfaba.Hedin2.R1.6g129520,,Psat7g075440,1204,3
OG0003725,LATSA3860_EIv1.0_0517420,Vfaba.Hedin2.R1.5g102840,MtrunA17_Chr8g0360621,,1230,3
OG0003731,LATSA3860_EIv1.0_0525920,Vfaba.Hedin2.R1.2g244520,MtrunA17_Chr4g0009831,,1230,3
OG0003732,LATSA3860_EIv1.0_0527880,Vfaba.Hedin2.R1.3g020560,,,1200,1
OG0003738,LATSA3860_EIv1.0_0542100,Vfaba.Hedin2.R1.2g270520,,Psat7g259640,1204,3
OG0003743,LATSA3860_EIv1.0_0554340,Vfaba.Hedin2.R1.1g263400,,Psat0s2281g0120,1204,3
OG0003748,LATSA3860_EIv1.0_0556850,Vfaba.Hedin2.R1.1g218160,,Psat2g066760,1204,3
OG0003775,LATSA3860_EIv1.0_0620360,Vfaba.Hedin2.R1.5g167560,,Psat0s3224g0200,1204,3
OG0003778,LATSA3860_EIv1.0_0627620,Vfaba.Hedin2.R1.6g001920,MtrunA17_Chr4g0076591,,1230,3
OG0003793,LATSA3860_EIv1.0_0013320,Vfaba.Hedin2.R1.6g126880,,,1200,1
OG0003810,LATSA3860_EIv1.0_0065960,Vfaba.Hedin2.R1.1g067040,MtrunA17_Chr2g0320111,,1230,3
OG0003830,LATSA3860_EIv1.0_0152520,Vfaba.Hedin2.R1.6g179720,,Psat7g023920,1204,3
OG0003831,LATSA3860_EIv1.0_0159170,Vfaba.Hedin2.R1.Ung088680,,,1200,1
OG0003842,LATSA3860_EIv1.0_0221770,Vfaba.Hedin2.R1.1g233440,,Psat2g049480,1204,3
OG0003843,LATSA3860_EIv1.0_0237470,Vfaba.Hedin2.R1.2g079000,,Psat5g144960,1204,3
OG0003844,LATSA3860_EIv1.0_0264550,Vfaba.Hedin2.R1.2g129280,,Psat5g082680,1204,3
OG0003846,LATSA3860_EIv1.0_0275740,Vfaba.Hedin2.R1.2g204520,,,1200,1
OG0003850,LATSA3860_EIv1.0_0285930,Vfaba.Hedin2.R1.1g194320,,,1200,1
OG0003853,LATSA3860_EIv1.0_0353230,Vfaba.Hedin2.R1.1g191600,,,1200,1
OG0003973,LATSA3860_EIv1.0_0375410,Vfaba.Hedin2.R1.5g131320,,Psat3g048960,1204,3
OG0003990,LATSA3860_EIv1.0_0175230,Vfaba.Hedin2.R1.1g346320,,Psat2g146760,1204,3
OG0003991,LATSA3860_EIv1.0_0175350,Vfaba.Hedin2.R1.1g346680,MtrunA17_Chr5g0407831,,1230,3
OG0003994,LATSA3860_EIv1.0_0214050,Vfaba.Hedin2.R1.1g462640,MtrunA17_Chr2g0285541,,1230,3
OG0003996,LATSA3860_EIv1.0_0247150,Vfaba.Hedin2.R1.1g268120,,Psat0s1719g0120,1204,3
OG0004009,LATSA3860_EIv1.0_0426990,Vfaba.Hedin2.R1.1g022120,,Psat3g190000,1204,3
OG0004032,LATSA3860_EIv1.0_0622030,Vfaba.Hedin2.R1.3g200480,,Psat6g032480,1204,3
OG0004044,LATSA3860_EIv1.0_0025410,Vfaba.Hedin2.R1.5g143000,MtrunA17_Chr7g0265151,,1230,3
OG0004046,LATSA3860_EIv1.0_0037510,Vfaba.Hedin2.R1.5g123760,,,1200,1
OG0004047,LATSA3860_EIv1.0_0042080,Vfaba.Hedin2.R1.1g303320,,,1200,1
OG0004054,LATSA3860_EIv1.0_0054290,Vfaba.Hedin2.R1.1g259640,,Psat2g024280,1204,3
OG0004064,LATSA3860_EIv1.0_0108840,Vfaba.Hedin2.R1.6g149040,MtrunA17_Chr8g0382531,,1230,3
OG0004069,LATSA3860_EIv1.0_0147910,Vfaba.Hedin2.R1.4g201360,,Psat0ss1196g0160,1204,3
OG0004083,LATSA3860_EIv1.0_0191700,Vfaba.Hedin2.R1.2g035320,MtrunA17_Chr7g0223051,,1230,3
OG0004127,LATSA3860_EIv1.0_0291110,Vfaba.Hedin2.R1.6g098960,,,1200,1
OG0004130,LATSA3860_EIv1.0_0305550,Vfaba.Hedin2.R1.3g110800,,,1200,1
OG0004171,LATSA3860_EIv1.0_0379620,Vfaba.Hedin2.R1.4g021200,,,1200,1
OG0004176,LATSA3860_EIv1.0_0390070,Vfaba.Hedin2.R1.2g173240,,,1200,1
OG0004182,LATSA3860_EIv1.0_0411170,Vfaba.Hedin2.R1.1g445280,,Psat1g173600,1204,3
OG0004190,LATSA3860_EIv1.0_0430810,Vfaba.Hedin2.R1.3g127240,,Psat6g191000,1204,3
OG0004197,LATSA3860_EIv1.0_0440730,Vfaba.Hedin2.R1.5g158280,,Psat3g025920,1204,3
OG0004198,LATSA3860_EIv1.0_0441390,Vfaba.Hedin2.R1.1g079560,,Psat5g239240,1204,3
OG0004205,LATSA3860_EIv1.0_0449140,Vfaba.Hedin2.R1.1g470280,,Psat1g200800,1204,3
OG0004223,LATSA3860_EIv1.0_0480070,Vfaba.Hedin2.R1.2g155040,MtrunA17_Chr3g0131561,,1230,3
OG0004240,LATSA3860_EIv1.0_0507610,Vfaba.Hedin2.R1.2g160560,,,1200,1
OG0004248,LATSA3860_EIv1.0_0528760,Vfaba.Hedin2.R1.6g030320,,Psat4g000880,1204,3
OG0004249,LATSA3860_EIv1.0_0528780,Vfaba.Hedin2.R1.6g030240,,,1200,1
OG0004257,LATSA3860_EIv1.0_0543060,Vfaba.Hedin2.R1.5g163000,,Psat3g021720,1204,3
OG0004296,LATSA3860_EIv1.0_0627190,Vfaba.Hedin2.R1.5g137560,,Psat3g041280,1204,3
OG0004300,LATSA3860_EIv1.0_0632860,Vfaba.Hedin2.R1.6g104280,,Psat7g104880,1204,3
OG0004326,LATSA3860_EIv1.0_0035400,Vfaba.Hedin2.R1.6g157440,,Psat7g045400,1204,3
OG0004335,LATSA3860_EIv1.0_0050550,Vfaba.Hedin2.R1.4g227600,,Psat4g008680,1204,3
OG0004340,LATSA3860_EIv1.0_0053110,Vfaba.Hedin2.R1.2g060720,MtrunA17_Chr3g0105701,,1230,3
OG0004372,LATSA3860_EIv1.0_0091580,Vfaba.Hedin2.R1.4g181440,,Psat4g034840,1204,3
OG0004375,LATSA3860_EIv1.0_0094730,Vfaba.Hedin2.R1.Ung119800,,,1200,1
OG0004389,LATSA3860_EIv1.0_0116660,Vfaba.Hedin2.R1.1g443040,,Psat1g171960,1204,3
OG0004400,LATSA3860_EIv1.0_0127790,Vfaba.Hedin2.R1.4g023040,,Psat4g141720,1204,3
OG0004407,LATSA3860_EIv1.0_0136580,Vfaba.Hedin2.R1.1g043360,,Psat5g276840,1204,3
OG0004409,LATSA3860_EIv1.0_0140030,Vfaba.Hedin2.R1.1g330720,,Psat2g131920,1204,3
OG0004419,LATSA3860_EIv1.0_0148630,Vfaba.Hedin2.R1.2g242680,,Psat7g232480,1204,3
OG0004423,LATSA3860_EIv1.0_0151650,Vfaba.Hedin2.R1.5g012480,MtrunA17_Chr2g0330051,,1230,3
OG0004443,LATSA3860_EIv1.0_0173050,Vfaba.Hedin2.R1.1g210960,,Psat2g074720,1204,3
OG0004455,LATSA3860_EIv1.0_0178990,Vfaba.Hedin2.R1.4g057200,MtrunA17_Chr8g0344611,,1230,3
OG0004459,LATSA3860_EIv1.0_0183320,Vfaba.Hedin2.R1.1g195680,,,1200,1
OG0004462,LATSA3860_EIv1.0_0185740,Vfaba.Hedin2.R1.3g148200,,Psat6g210600,1204,3
OG0004464,LATSA3860_EIv1.0_0187970,Vfaba.Hedin2.R1.1g191200,,Psat1g002240,1204,3
OG0004465,LATSA3860_EIv1.0_0188340,Vfaba.Hedin2.R1.4g210760,,,1200,1
OG0004471,LATSA3860_EIv1.0_0191730,Vfaba.Hedin2.R1.2g020440,,,1200,1
OG0004479,LATSA3860_EIv1.0_0199350,Vfaba.Hedin2.R1.1g319760,,,1200,1
OG0004507,LATSA3860_EIv1.0_0217610,Vfaba.Hedin2.R1.1g084960,,Psat5g233760,1204,3
OG0004519,LATSA3860_EIv1.0_0226360,Vfaba.Hedin2.R1.2g196320,MtrunA17_Chr3g0140651,,1230,3
OG0004521,LATSA3860_EIv1.0_0230220,Vfaba.Hedin2.R1.1g269680,,Psat2g017880,1204,3
OG0004531,LATSA3860_EIv1.0_0239020,Vfaba.Hedin2.R1.2g266520,,Psat7g256600,1204,3
OG0004535,LATSA3860_EIv1.0_0242100,Vfaba.Hedin2.R1.6g102680,,Psat7g103160,1204,3
OG0004538,LATSA3860_EIv1.0_0244840,Vfaba.Hedin2.R1.4g175000,MtrunA17_Chr4g0063551,,1230,3
OG0004542,LATSA3860_EIv1.0_0249710,Vfaba.Hedin2.R1.1g461520,,,1200,1
OG0004547,LATSA3860_EIv1.0_0258730,Vfaba.Hedin2.R1.4g002040,,Psat4g225920,1204,3
OG0004555,LATSA3860_EIv1.0_0265700,Vfaba.Hedin2.R1.Ung035000,,Psat4g043920,1204,3
OG0004557,LATSA3860_EIv1.0_0266810,Vfaba.Hedin2.R1.1g080520,,Psat5g238120,1204,3
OG0004561,LATSA3860_EIv1.0_0271340,Vfaba.Hedin2.R1.6g115440,,Psat7g116640,1204,3
OG0004563,LATSA3860_EIv1.0_0272290,Vfaba.Hedin2.R1.6g195520,MtrunA17_Chr8g0392001,,1230,3
OG0004580,LATSA3860_EIv1.0_0281560,Vfaba.Hedin2.R1.1g023440,,Psat3g188280,1204,3
OG0004586,LATSA3860_EIv1.0_0286700,Vfaba.Hedin2.R1.1g401000,,,1200,1
OG0004592,LATSA3860_EIv1.0_0290740,Vfaba.Hedin2.R1.4g208080,,Psat4g017600,1204,3
OG0004595,LATSA3860_EIv1.0_0294310,Vfaba.Hedin2.R1.6g191160,,Psat7g010960,1204,3
OG0004611,LATSA3860_EIv1.0_0305220,Vfaba.Hedin2.R1.4g066640,,Psat4g195840,1204,3
OG0004621,LATSA3860_EIv1.0_0314970,Vfaba.Hedin2.R1.3g232200,,,1200,1
OG0004624,LATSA3860_EIv1.0_0316560,Vfaba.Hedin2.R1.1g251640,MtrunA17_Chr1g0199771,,1230,3
OG0004627,LATSA3860_EIv1.0_0317900,Vfaba.Hedin2.R1.6g110480,,Psat7g111360,1204,3
OG0004629,LATSA3860_EIv1.0_0318820,Vfaba.Hedin2.R1.2g042440,,Psat5g178680,1204,3
OG0004633,LATSA3860_EIv1.0_0321800,Vfaba.Hedin2.R1.2g240640,MtrunA17_Chr4g0011041,,1230,3
OG0004636,LATSA3860_EIv1.0_0326240,Vfaba.Hedin2.R1.4g056560,,Psat4g166520,1204,3
OG0004647,LATSA3860_EIv1.0_0334110,Vfaba.Hedin2.R1.6g190360,,Psat7g012760,1204,3
OG0004690,LATSA3860_EIv1.0_0367440,Vfaba.Hedin2.R1.1g005120,,Psat3g194640,1204,3
OG0004698,LATSA3860_EIv1.0_0376040,Vfaba.Hedin2.R1.4g004320,MtrunA17_Chr8g0335981,,1230,3
OG0004700,LATSA3860_EIv1.0_0379670,Vfaba.Hedin2.R1.2g188080,,Psat5g026880,1204,3
OG0004705,LATSA3860_EIv1.0_0384780,Vfaba.Hedin2.R1.1g123640,,Psat1g082000,1204,3
OG0004709,LATSA3860_EIv1.0_0387690,Vfaba.Hedin2.R1.2g204040,MtrunA17_Chr3g0141951,,1230,3
OG0004710,LATSA3860_EIv1.0_0387750,Vfaba.Hedin2.R1.2g052280,,Psat5g164120,1204,3
OG0004715,LATSA3860_EIv1.0_0390660,Vfaba.Hedin2.R1.1g106480,,,1200,1
OG0004721,LATSA3860_EIv1.0_0395170,Vfaba.Hedin2.R1.4g144280,,Psat4g069000,1204,3
